Time,TensaoFonte,CorrenteReal,DisparoInferior,DisparoSuperior,TensaoReal,S1.TensaoDesjada,S1.CorrenteReferencia,S1.AnguloDeDisparo
0.0238,-146.449,0.012578,0,0,16.9231,17.4318,0.5,84.9492
0.0239,-135.999,0.0126504,0,0,17.0581,17.5026,0.5,84.9286
0.024,-125.355,0.0127233,0,0,17.1981,17.5733,0.5,84.9081
0.0241,-114.533,0.0127968,0,0,17.3425,17.6439,0.5,84.8876
0.0242,-103.549,0.0128709,0,0,17.4905,17.7144,0.5,84.8671
0.0243,-92.4177,0.0129456,0,0,17.6415,17.7848,0.5,84.8466
0.0244,-81.1548,0.013021,0,0,17.7949,17.8552,0.5,84.8262
0.0245,-69.7767,0.0130969,0,0,17.9499,17.9256,0.5,84.8057
0.0246,-58.2994,0.0131736,0,0,18.1059,17.9959,0.5,84.7853
0.0247,-46.7392,0.0132508,0,0,18.2622,18.0662,0.5,84.7649
0.0248,-35.1127,0.0133287,0,0,18.4181,18.1364,0.5,84.7445
0.0249,-23.4362,0.0134073,0,0,18.573,18.2066,0.5,84.724
0.025,-11.7264,0.0134865,0,0,18.7262,18.2769,0.5,84.7036
0.0251,3.93254e-008,0.0135663,0,0,18.8771,18.3471,0.5,84.6832
0.0252,11.7264,0.0136467,0,0,19.025,18.4174,0.5,84.6628
0.0253,23.4362,0.0137276,0,0,19.1693,18.4876,0.5,84.6424
0.0254,35.1127,0.0138092,0,0,19.3093,18.5579,0.5,84.622
0.0255,46.7392,0.0138913,0,0,19.4445,18.6282,0.5,84.6015
0.0256,58.2994,0.0139739,0,0,19.5741,18.6986,0.5,84.5811
0.0257,69.7767,0.0140571,0,0,19.6977,18.769,0.5,84.5606
0.0258,81.1548,0.0141407,0,0,19.8146,18.8395,0.5,84.5401
0.0259,92.4177,0.0142247,0,0,19.9242,18.9101,0.5,84.5196
0.026,103.549,0.0143091,0,0,20.0261,18.9807,0.5,84.4991
0.0261,114.533,0.0143939,0,0,20.1195,19.0514,0.5,84.4785
0.0262,125.355,0.0144789,0,0,20.2041,19.1222,0.5,84.4579
0.0263,135.999,0.0145643,0,0,20.2792,19.1931,0.5,84.4373
0.0264,146.449,0.0146499,0,0,20.3444,19.2641,0.5,84.4167
0.0265,156.691,0.0147357,0,0,20.3992,19.3353,0.5,84.396
0.0266,166.71,0.0148216,0,0,20.4431,19.4065,0.5,84.3753
0.0267,176.493,0.0149075,0,0,20.4757,19.4779,0.5,84.3545
0.0268,186.024,0.0149935,0,0,20.4966,19.5494,0.5,84.3337
0.0269,195.292,0.0150795,0,0,20.5053,19.621,0.5,84.3129
0.027,204.282,0.0151653,0,0,20.5014,19.6928,0.5,84.292
0.0271,212.981,0.015251,0,0,20.4847,19.7648,0.5,84.2711
0.0272,221.378,0.0153365,0,0,20.4546,19.8369,0.5,84.2501
0.0273,229.46,0.0154218,0,0,20.411,19.9091,0.5,84.2291
0.0274,237.216,0.0155066,0,0,20.3535,19.9816,0.5,84.208
0.0275,244.636,0.0155911,0,0,20.2818,20.0542,0.5,84.1869
0.0276,251.707,0.0156751,0,0,20.1957,20.127,0.5,84.1657
0.0277,258.421,0.0157586,0,0,20.0949,20.2,0.5,84.1445
0.0278,264.767,0.0158414,0,0,19.9793,20.2731,0.5,84.1232
0.0279,270.738,0.0159236,0,0,19.8486,20.3465,0.5,84.1019
0.028,276.323,0.016005,0,0,19.7027,20.4201,0.5,84.0805
0.0281,281.516,0.0160856,0,0,19.5414,20.4939,0.5,84.059
0.0282,286.309,0.0161653,0,0,19.3646,20.5678,0.5,84.0375
0.0283,290.695,0.0162441,0,0,19.1723,20.642,0.5,84.0159
0.0284,294.668,0.0163218,0,0,18.9644,20.7164,0.5,83.9942
0.0285,298.222,0.0163984,0,0,18.7409,20.791,0.5,83.9725
0.0286,301.352,0.0164738,0,0,18.5016,20.8659,0.5,83.9508
0.0287,304.054,0.0165479,0,0,18.2468,20.9409,0.5,83.9289
0.0288,306.325,0.0166208,0,0,17.9763,21.0162,0.5,83.907
0.0289,308.159,0.0166922,0,0,17.6902,21.0917,0.5,83.885
0.029,309.556,0.0167622,1,0,17.3887,21.1674,0.5,83.863
0.0291,310.573,0.0168306,1,0,17.0894,21.2432,0.5,83.8409
0.0292,311.029,0.0168975,1,0,16.8099,21.3189,0.5,83.8189
0.0293,311.102,0.016963,1,0,16.5499,21.3943,0.5,83.797
0.0294,310.734,0.0170273,1,0,16.3093,21.4694,0.5,83.7751
0.0295,309.924,0.0170903,1,0,16.0878,21.5444,0.5,83.7533
0.0296,308.674,0.0171521,1,0,15.8853,21.6192,0.5,83.7315
0.0297,306.985,0.0172129,1,0,15.7014,21.6937,0.5,83.7098
0.0298,304.859,0.0172728,1,0,15.5359,21.768,0.5,83.6882
0.0299,302.301,0.0173318,1,0,15.3883,21.8421,0.5,83.6666
0.03,299.313,0.0173901,0,0,15.2585,21.916,0.5,83.6451
0.0301,295.899,0.0174476,0,0,15.146,21.9897,0.5,83.6236
0.0302,292.065,0.0175045,0,0,15.0504,22.0631,0.5,83.6023
0.0303,287.816,0.0175609,0,0,14.9714,22.1364,0.5,83.5809
0.0304,283.159,0.0176168,0,0,14.9085,22.2094,0.5,83.5596
0.0305,278.098,0.0176724,0,0,14.8613,22.2823,0.5,83.5384
0.0306,272.643,0.0177276,0,0,14.8293,22.355,0.5,83.5173
0.0307,266.8,0.0177826,0,0,14.8121,22.4274,0.5,83.4962
0.0308,260.578,0.0178374,0,0,14.8092,22.4997,0.5,83.4751
0.0309,253.985,0.0178922,0,0,14.8199,22.5719,0.5,83.4541
0.031,247.032,0.0179469,0,0,14.8439,22.6438,0.5,83.4331
0.0311,239.727,0.0180016,0,0,14.8806,22.7156,0.5,83.4122
0.0312,232.082,0.0180564,0,0,14.9294,22.7872,0.5,83.3914
0.0313,224.108,0.0181113,0,0,14.9897,22.8586,0.5,83.3706
0.0314,215.814,0.0181664,0,0,15.061,22.9299,0.5,83.3498
0.0315,207.214,0.0182218,0,0,15.1426,23.0011,0.5,83.3291
0.0316,198.32,0.0182774,0,0,15.234,23.0721,0.5,83.3084
0.0317,189.144,0.0183334,0,0,15.3345,23.143,0.5,83.2877
0.0318,179.698,0.0183898,0,0,15.4435,23.2137,0.5,83.2671
0.0319,169.998,0.0184466,0,0,15.5604,23.2843,0.5,83.2465
0.032,160.056,0.0185038,0,0,15.6846,23.3549,0.5,83.226
0.0321,149.887,0.0185615,0,0,15.8153,23.4253,0.5,83.2055
0.0322,139.504,0.0186197,0,0,15.9519,23.4956,0.5,83.185
0.0323,128.923,0.0186784,0,0,16.0937,23.5658,0.5,83.1645
0.0324,118.16,0.0187377,0,0,16.2402,23.636,0.5,83.1441
0.0325,107.228,0.0187976,0,0,16.3906,23.706,0.5,83.1236
0.0326,96.1435,0.0188581,0,0,16.5442,23.776,0.5,83.1032
0.0327,84.9227,0.0189192,0,0,16.7004,23.846,0.5,83.0828
0.0328,73.5812,0.0189809,0,0,16.8585,23.9159,0.5,83.0625
0.0329,62.1352,0.0190432,0,0,17.0178,23.9857,0.5,83.0421
0.033,50.6008,0.0191062,0,0,17.1776,24.0555,0.5,83.0218
0.0331,38.9946,0.0191698,0,0,17.3374,24.1253,0.5,83.0014
0.0332,27.3329,0.019234,0,0,17.4963,24.1951,0.5,82.9811
0.0333,15.6324,0.0192989,0,0,17.6538,24.2649,0.5,82.9607
0.0334,3.90963,0.0193644,0,0,17.8093,24.3346,0.5,82.9404
0.0335,-7.81865,0.0194304,0,0,17.9619,24.4044,0.5,82.92
0.0336,-19.5358,0.0194971,0,0,18.1112,24.4742,0.5,82.8997
0.0337,-31.2252,0.0195643,0,0,18.2565,24.544,0.5,82.8793
0.0338,-42.8703,0.0196321,0,0,18.3971,24.6139,0.5,82.859
0.0339,-54.4544,0.0197004,0,0,18.5324,24.6837,0.5,82.8386
0.034,-65.9611,0.0197692,0,0,18.6618,24.7537,0.5,82.8182
0.0341,-77.3741,0.0198385,0,0,18.7848,24.8237,0.5,82.7978
0.0342,-88.6772,0.0199082,0,0,18.9008,24.8938,0.5,82.7773
0.0343,-99.8542,0.0199783,0,0,19.0091,24.9639,0.5,82.7569
0.0344,-110.889,0.0200488,0,0,19.1092,25.0341,0.5,82.7364
0.0345,-121.767,0.0201197,0,0,19.2007,25.1044,0.5,82.7159
0.0346,-132.471,0.0201908,0,0,19.2829,25.1748,0.5,82.6953
0.0347,-142.988,0.0202621,0,0,19.3553,25.2453,0.5,82.6748
0.0348,-153.301,0.0203336,0,0,19.4176,25.316,0.5,82.6541
